date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2021-04-01,30541255,79045,65697.143,553733,1078,890.571,92268.915,238.805,198.479,1672.896,3.257,2.691
2021-04-02,30611086,69831,64627.143,554686,953,861.857,92479.883,210.968,195.247,1675.775,2.879,2.604
2021-04-03,30674153,63067,64679.571,555423,737,854.571,92670.416,190.533,195.405,1678.002,2.227,2.582
2021-04-04,30709125,34972,63518.857,555717,294,821.857,92776.071,105.655,191.898,1678.89,0.888,2.483
2021-04-05,30786804,77679,64697.429,556236,519,794.143,93010.749,234.678,195.459,1680.458,1.568,2.399
2021-04-06,30847348,60544,64596.714,557097,861,790.429,93193.66,182.911,195.155,1683.059,2.601,2.388
2021-04-07,30922386,75038,65739.429,559690,2593,1005,93420.359,226.699,198.607,1690.893,7.834,3.036
2021-04-08,31002264,79878,65858.429,560711,1021,996.857,93661.68,241.321,198.966,1693.977,3.085,3.012
2021-04-09,31084962,82698,67696.571,561600,889,987.714,93911.521,249.841,204.52,1696.663,2.686,2.984
2021-04-10,31151497,66535,68192,562316,716,984.714,94112.531,201.01,206.016,1698.826,2.163,2.975
2021-04-11,31197877,46380,69821.714,562616,300,985.571,94252.651,140.12,210.94,1699.733,0.906,2.978
2021-04-12,31268107,70230,68757.571,563092,476,979.429,94464.825,212.174,207.725,1701.171,1.438,2.959
2021-04-13,31345985,77878,71233.857,563924,832,975.286,94700.104,235.279,215.206,1703.684,2.514,2.946
2021-04-14,31421360,75375,71282,564896,972,743.714,94927.821,227.717,215.352,1706.621,2.937,2.247
2021-04-15,31495649,74289,70483.571,565795,899,726.286,95152.257,224.436,212.94,1709.337,2.716,2.194
2021-04-16,31575640,79991,70096.857,566667,872,723.857,95393.92,241.663,211.771,1711.971,2.634,2.187
2021-04-17,31628013,52373,68073.714,567359,692,720.429,95552.145,158.225,205.659,1714.062,2.091,2.177
2021-04-18,31670031,42018,67450.571,567692,333,725.143,95679.087,126.942,203.777,1715.068,1.006,2.191
2021-04-19,31737964,67933,67122.429,568191,499,728.429,95884.321,205.234,202.785,1716.575,1.508,2.201
2021-04-20,31799237,61273,64750.286,569027,836,729,96069.434,185.113,195.619,1719.101,2.526,2.202
2021-04-21,31862094,62857,62962,569886,859,712.857,96259.333,189.899,190.216,1721.696,2.595,2.154
2021-04-22,31929351,67257,61957.429,570844,958,721.286,96462.525,203.192,187.181,1724.59,2.894,2.179
2021-04-23,31991750,62399,59444.286,571621,777,707.714,96651.04,188.515,179.589,1726.938,2.347,2.138
2021-04-24,32045113,53363,59585.714,572356,735,713.857,96812.256,161.216,180.016,1729.158,2.221,2.157
2021-04-25,32077178,32065,58163.857,572645,289,707.571,96909.128,96.872,175.72,1730.031,0.873,2.138
2021-04-26,32124869,47691,55272.143,573132,487,705.857,97053.209,144.08,166.984,1731.503,1.471,2.132
2021-04-27,32175725,50856,53784,573782,650,679.286,97206.851,153.642,162.488,1733.467,1.964,2.052
2021-04-28,32230850,55125,52679.429,574751,969,695,97373.39,166.539,159.151,1736.394,2.927,2.1
2021-04-29,32289049,58199,51385.429,575616,865,681.714,97549.217,175.826,155.242,1739.007,2.613,2.06
2021-04-30,32346971,57922,50745.857,576354,738,676.143,97724.206,174.99,153.31,1741.237,2.23,2.043
2021-05-01,32392274,45303,49594.429,577069,715,673.286,97861.072,136.866,149.831,1743.397,2.16,2.034
2021-05-02,32421641,29367,49209,577401,332,679.429,97949.794,88.721,148.666,1744.4,1.003,2.053
2021-05-03,32472201,50560,49618.857,577887,486,679.286,98102.542,152.748,149.905,1745.868,1.468,2.052
2021-05-04,32512934,40733,48172.714,578763,876,711.571,98225.601,123.059,145.536,1748.515,2.647,2.15
2021-05-05,32557669,44735,46688.429,579541,778,684.286,98360.751,135.15,141.052,1750.865,2.35,2.067
2021-05-06,32605183,47514,45162,580334,793,674,98504.297,143.546,136.44,1753.261,2.396,2.036
2021-05-07,32652472,47289,43643,581088,754,676.286,98647.163,142.866,131.851,1755.539,2.278,2.043
2021-05-08,32686965,34493,42098.714,581705,617,662.286,98751.37,104.208,127.185,1757.403,1.864,2.001
2021-05-09,32708357,21392,40959.429,581947,242,649.429,98815.998,64.628,123.744,1758.134,0.731,1.962
2021-05-10,32745255,36898,39007.714,582347,400,637.143,98927.472,111.473,117.847,1759.342,1.208,1.925
2021-05-11,32778906,33651,37996,583023,676,608.571,99029.136,101.664,114.791,1761.385,2.042,1.839
2021-05-12,32814784,35878,36730.714,583872,849,618.714,99137.527,108.392,110.968,1763.95,2.565,1.869
2021-05-13,32852871,38087,35384,584674,802,620,99252.593,115.066,106.899,1766.373,2.423,1.873
2021-05-14,32895169,42298,34671,585332,658,606.286,99380.38,127.787,104.745,1768.36,1.988,1.832
2021-05-15,32923982,28813,33859.571,585808,476,586.143,99467.428,87.048,102.294,1769.799,1.438,1.771
2021-05-16,32940846,16864,33212.714,586070,262,589,99518.376,50.948,100.34,1770.59,0.792,1.779
2021-05-17,32969512,28666,32036.714,586459,389,587.429,99604.98,86.604,96.787,1771.765,1.175,1.775
2021-05-18,32997331,27819,31203.571,587219,760,599.429,99689.025,84.045,94.27,1774.061,2.296,1.811
2021-05-19,33026624,29293,30262.857,587874,655,571.714,99777.522,88.498,91.428,1776.04,1.979,1.727
2021-05-20,33056765,30141,29127.714,588539,665,552.143,99868.582,91.06,87.998,1778.049,2.009,1.668
2021-05-21,33085106,28341,27133.857,589223,684,555.857,99954.204,85.622,81.975,1780.116,2.066,1.679
